seq_id	pred	ARG	alkaloids with antibiotic activity	aminocoumarin	aminoglycoside	beta-lactam	diaminopyrimidine	disinfecting agents and antiseptics	fluoroquinolone	glycopeptide	lincosamide	macrolide	nitroimidazole	nucleoside	peptide	phenicol	pleuromutilin	rifamycin	streptogramin	sulfonamide	sulfone	tetracycline	others
Q46342|UNIPROT|nonARG		0.023813996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8VQ99|UNIPROT|nonARG		0.004113069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P45385|UNIPROT|nonARG		0.0025602498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3E7S8|UNIPROT|nonARG		0.006282524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B2TUF5|UNIPROT|nonARG		0.0013252136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0TJC9|UNIPROT|nonARG		0.0011278673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B1JQT1|UNIPROT|nonARG		0.0011123514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8NZB5|UNIPROT|nonARG		0.003475602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_753111_1|CARD|beta-lactam;peptide	others	0.89738655	1.9770406652241945e-05	4.7009285481180996e-05	0.0002730741980485618	0.000915804470423609	0.0011960132978856564	0.0001929708814714104	0.007022128440439701	0.00021518194989766926	0.0032981857657432556	0.0007230875198729336	3.7494370189961046e-05	3.135346560156904e-05	0.005332850385457277	0.0033090333454310894	5.902594421058893e-05	0.002046408364549279	0.0016880125040188432	5.914669600315392e-05	2.1727131752413698e-05	0.006196973845362663	0.8966628313064575
A5VJD5|UNIPROT|nonARG		0.0015670297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q2N5Q5|UNIPROT|nonARG		0.00096494105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P0DPB7|UNIPROT|nonARG		0.8350537	3.948831363231875e-05	2.2123411326901987e-05	0.0036794529296457767	0.09931360930204391	0.0002865465939976275	6.762957491446286e-05	0.0008242393960244954	0.1255148947238922	0.006241463124752045	0.0029790052212774754	3.692105383379385e-05	3.724803536897525e-05	0.0007489759591408074	0.0007270003552548587	0.00045424228301271796	0.0062099965289235115	0.0023100257385522127	0.00019500531197991222	1.724956018733792e-05	0.0013553358148783445	0.0017279430758208036
B3R7T5|UNIPROT|nonARG		0.004154338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B1IUQ9|UNIPROT|nonARG		0.0223319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q2K9M3|UNIPROT|nonARG		0.0009836054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q1MIE8|UNIPROT|nonARG		0.0012860034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q5E239|UNIPROT|nonARG		0.006911152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q2YM16|UNIPROT|nonARG		0.0012153075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q1IFX2|UNIPROT|nonARG		0.008293672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1AX74|UNIPROT|nonARG		0.0037671404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q4FLL3|UNIPROT|nonARG		0.0013562558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1QZH6|UNIPROT|nonARG		0.010715906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG_6096|MEGARes|rifamycin	rifamycin	0.96604717	8.281670307042077e-05	0.0005521962302736938	0.0003798208199441433	0.00023477000650018454	5.232936018728651e-05	3.588219988159835e-05	0.0010956748155876994	0.0010733982780948281	0.0012328628217801452	0.0004125752311665565	2.3613949451828375e-05	6.989268877077848e-05	0.017272423952817917	0.00018256076145917177	3.448176721576601e-05	0.9956361651420593	0.00030157831497490406	0.00030273807351477444	5.645693363476312e-06	0.00034941360354423523	0.0037257717922329903
B0BWA9|UNIPROT|nonARG		0.1404937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0BKC5|UNIPROT|nonARG		0.14462417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG_6127|MEGARes|rifamycin	rifamycin	0.94726205	0.00010389710223535076	0.00021790833852719516	0.00012637644249480218	9.720991511130705e-05	0.00012690125731751323	6.247848068596795e-05	0.0008495341171510518	3.3891978091560304e-05	8.517259266227484e-05	6.618562474614009e-05	4.922776861349121e-05	3.865332837449387e-05	0.0041491566225886345	0.00016049316036514938	7.506067959184293e-06	0.9749696850776672	6.904172914801165e-05	8.620353764854372e-05	7.348186500166776e-06	0.0002482681884430349	0.004763240460306406
Q8KG15|UNIPROT|nonARG		0.12678623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4FPP2|UNIPROT|nonARG		0.0034599216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5CC70|UNIPROT|nonARG		0.0012063587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P0DPI0|UNIPROT|nonARG		0.0030785673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6KYK3|UNIPROT|nonARG		0.25043815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1UK81|UNIPROT|nonARG		0.0008525849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAC29514_1|CARD|antibiotic without defined classification;fluoroquinolone		0.017309193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9HZQ3|UNIPROT|nonARG		0.112910345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O68032|UNIPROT|nonARG		0.0142183425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9WMQ5|UNIPROT|nonARG		0.036732752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P95629|UNIPROT|nonARG		0.005201565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0TDI1|UNIPROT|nonARG		0.018187096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q49WA6|UNIPROT|nonARG		0.007006512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B5E4P5|UNIPROT|nonARG		0.012148641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG_6118|MEGARes|rifamycin	rifamycin	0.9683991	2.0931272956659086e-05	0.00048307949327863753	7.835236465325579e-05	0.00012784387217834592	6.947875954210758e-05	0.0001008205654215999	0.002239253604784608	8.602927118772641e-05	6.383041909430176e-05	0.0001228409237228334	2.7754242182709277e-05	1.7371870853821747e-05	0.006223114673048258	0.0007534849573858082	1.5935829651425593e-05	0.9996225833892822	0.00019877958402503282	0.00013456943270284683	6.129479061200982e-06	0.0008283951901830733	0.0020029167644679546
